## Fri Jan 20 14:08:03 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_g7safdbh --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_g7safdbh --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_g7safdbh/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope 1224 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
FNPKGJ_13930	690597.JH730981_gene476	2.01e-39	131.0	2B201@1|root,31UGN@2|Bacteria,1QSBU@1224|Proteobacteria,1RVR4@1236|Gammaproteobacteria,1YU9X@136843|Pseudomonas fluorescens group	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_13935	216595.PFLU_2963	1.74e-155	437.0	COG1296@1|root,COG1296@2|Bacteria,1MVGN@1224|Proteobacteria,1S2AK@1236|Gammaproteobacteria	1224|Proteobacteria	E	branched-chain amino acid	azlC	-	-	-	-	-	-	-	-	-	-	-	AzlC
FNPKGJ_13940	216595.PFLU_2964	1.88e-63	194.0	COG4392@1|root,COG4392@2|Bacteria,1N6Z1@1224|Proteobacteria,1SCAB@1236|Gammaproteobacteria,1YQR9@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	Branched-chain amino acid ABC transporter	-	-	-	-	-	-	-	-	-	-	-	-	AzlD
FNPKGJ_13945	216595.PFLU_2965	6.17e-77	231.0	2FHS7@1|root,349JJ@2|Bacteria,1NMMB@1224|Proteobacteria,1RUFB@1236|Gammaproteobacteria,1YQW0@136843|Pseudomonas fluorescens group	1224|Proteobacteria	-	-	-	-	3.1.31.1	ko:K01174	-	-	-	-	ko00000,ko01000	-	-	-	-
FNPKGJ_13950	216595.PFLU_2966	1.87e-156	440.0	COG3619@1|root,COG3619@2|Bacteria,1RKD9@1224|Proteobacteria,1SESR@1236|Gammaproteobacteria,1YPY6@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	Protein of unknown function (DUF1275)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1275
FNPKGJ_13955	216595.PFLU_2967	0.0	1045.0	COG0488@1|root,COG0488@2|Bacteria,1MV25@1224|Proteobacteria,1RNM9@1236|Gammaproteobacteria,1YM1T@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	ATPases associated with a variety of cellular activities	ydiF	-	-	-	-	-	-	-	-	-	-	-	ABC_tran
FNPKGJ_13960	216595.PFLU_2968	6.09e-254	696.0	COG3569@1|root,COG3569@2|Bacteria,1MVJ9@1224|Proteobacteria,1RQ4S@1236|Gammaproteobacteria,1YN3B@136843|Pseudomonas fluorescens group	1224|Proteobacteria	G	Eukaryotic DNA topoisomerase I, catalytic core	MA20_25110	-	5.99.1.2	ko:K03168	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	Topoisom_I
FNPKGJ_13965	216595.PFLU_2969	2.13e-257	706.0	COG4148@1|root,COG4148@2|Bacteria,1MU8K@1224|Proteobacteria,1RQCV@1236|Gammaproteobacteria,1YNPB@136843|Pseudomonas fluorescens group	1224|Proteobacteria	P	Part of the ABC transporter complex ModABC involved in molybdenum import. Responsible for energy coupling to the transport system	modC	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008509,GO:0015075,GO:0015098,GO:0015103,GO:0015318,GO:0015399,GO:0015405,GO:0015412,GO:0015689,GO:0015698,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0034220,GO:0042623,GO:0042626,GO:0043225,GO:0043492,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0098656,GO:0099133	3.6.3.29	ko:K02017	ko02010,map02010	M00189	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.8	-	-	ABC_tran,TOBE
FNPKGJ_13970	216595.PFLU_2970	2.13e-158	444.0	COG4149@1|root,COG4149@2|Bacteria,1MUXR@1224|Proteobacteria,1RRDV@1236|Gammaproteobacteria,1YPT3@136843|Pseudomonas fluorescens group	1224|Proteobacteria	P	ABC transporter permease	modB	-	-	ko:K02018	ko02010,map02010	M00189	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.8	-	-	BPD_transp_1
FNPKGJ_13975	216595.PFLU_2971	6.31e-173	483.0	COG0725@1|root,COG0725@2|Bacteria,1MVNA@1224|Proteobacteria,1RN71@1236|Gammaproteobacteria,1YMRZ@136843|Pseudomonas fluorescens group	1224|Proteobacteria	P	Molybdate ABC transporter	modA	GO:0003674,GO:0005488,GO:0030973,GO:0043167,GO:0043168	-	ko:K02020	ko02010,map02010	M00189	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.8	-	-	SBP_bac_11
FNPKGJ_13980	216595.PFLU_2972	3.23e-248	682.0	COG2070@1|root,COG2070@2|Bacteria,1MU2F@1224|Proteobacteria,1RQK2@1236|Gammaproteobacteria,1YMFJ@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	2-nitropropane dioxygenase	MA20_36480	-	1.13.12.16	ko:K00459	ko00910,map00910	-	R00025	RC02541,RC02759	ko00000,ko00001,ko01000	-	-	-	NMO
FNPKGJ_13985	216595.PFLU_2973	7.64e-219	602.0	COG0596@1|root,COG0596@2|Bacteria,1MUSF@1224|Proteobacteria,1RQ1N@1236|Gammaproteobacteria,1YTCE@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	Alpha/beta hydrolase family	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1
FNPKGJ_13990	216595.PFLU_2974	8.93e-141	397.0	COG5516@1|root,COG5516@2|Bacteria,1REGN@1224|Proteobacteria,1RVQ6@1236|Gammaproteobacteria,1YU8R@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	Putative stress-induced transcription regulator	-	-	-	-	-	-	-	-	-	-	-	-	ABATE,zf-CGNR
FNPKGJ_13995	216595.PFLU_2975	1.67e-251	690.0	COG0350@1|root,COG2169@1|root,COG0350@2|Bacteria,COG2169@2|Bacteria,1N2YQ@1224|Proteobacteria,1RPR3@1236|Gammaproteobacteria,1YPP0@136843|Pseudomonas fluorescens group	1224|Proteobacteria	F	ADA regulatory protein	ada	GO:0001130,GO:0003674,GO:0003700,GO:0003824,GO:0003908,GO:0005488,GO:0006139,GO:0006259,GO:0006281,GO:0006304,GO:0006307,GO:0006355,GO:0006464,GO:0006479,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008168,GO:0008172,GO:0008213,GO:0008270,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0016740,GO:0016741,GO:0018125,GO:0018193,GO:0018198,GO:0019219,GO:0019222,GO:0019538,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0032259,GO:0033554,GO:0034641,GO:0035510,GO:0036211,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044728,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0046483,GO:0046872,GO:0046914,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0051716,GO:0060255,GO:0065007,GO:0070988,GO:0071704,GO:0080090,GO:0080111,GO:0090304,GO:0140110,GO:1901360,GO:1901564,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000112,GO:2000113,GO:2001141	2.1.1.63	ko:K00567,ko:K10778	-	-	-	-	ko00000,ko01000,ko03000,ko03400	-	-	-	Ada_Zn_binding,DNA_binding_1,HTH_18,HTH_AraC,Methyltransf_1N
FNPKGJ_14000	216595.PFLU_2976	3.31e-164	458.0	COG3145@1|root,COG3145@2|Bacteria,1N5HB@1224|Proteobacteria,1S23P@1236|Gammaproteobacteria,1YNNU@136843|Pseudomonas fluorescens group	1224|Proteobacteria	L	Alkylated DNA repair protein	alkB	GO:0003674,GO:0003824,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006304,GO:0006307,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008198,GO:0009451,GO:0009987,GO:0016070,GO:0016491,GO:0016705,GO:0016706,GO:0032451,GO:0033554,GO:0034641,GO:0035510,GO:0035511,GO:0035513,GO:0035515,GO:0035552,GO:0035553,GO:0042245,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043734,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0044728,GO:0046483,GO:0046872,GO:0046914,GO:0050896,GO:0051213,GO:0051716,GO:0055114,GO:0070579,GO:0070988,GO:0070989,GO:0071704,GO:0080111,GO:0090304,GO:0140098,GO:1901360	1.14.11.33	ko:K03919	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	2OG-FeII_Oxy_2
FNPKGJ_14005	216595.PFLU_2977	1.95e-30	107.0	2B1A0@1|root,31TQJ@2|Bacteria,1QRGJ@1224|Proteobacteria,1RUGF@1236|Gammaproteobacteria,1YQYA@136843|Pseudomonas fluorescens group	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_14010	1117958.PE143B_0102445	8.07e-68	205.0	2E7V1@1|root,3329W@2|Bacteria,1NC3N@1224|Proteobacteria,1SGUF@1236|Gammaproteobacteria	1224|Proteobacteria	S	Domain of unknown function (DUF1883)	IV02_15465	-	-	-	-	-	-	-	-	-	-	-	DUF1883
FNPKGJ_14015	216595.PFLU_2979	2.06e-78	233.0	2BIHE@1|root,32CQ5@2|Bacteria,1QRDZ@1224|Proteobacteria,1RUCZ@1236|Gammaproteobacteria,1YQQB@136843|Pseudomonas fluorescens group	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_14020	216595.PFLU_2980	6.44e-137	389.0	COG2863@1|root,COG2863@2|Bacteria,1RGTS@1224|Proteobacteria,1S6MS@1236|Gammaproteobacteria,1YSEE@136843|Pseudomonas fluorescens group	1224|Proteobacteria	C	Cytochrome C oxidase, cbb3-type, subunit III	-	-	-	-	-	-	-	-	-	-	-	-	Cytochrom_C,Cytochrome_CBB3
FNPKGJ_14025	216595.PFLU_2981	2.7e-231	635.0	COG3258@1|root,COG3258@2|Bacteria,1NIQK@1224|Proteobacteria,1RZH1@1236|Gammaproteobacteria,1YRGM@136843|Pseudomonas fluorescens group	1224|Proteobacteria	C	Cytochrome C oxidase, cbb3-type, subunit III	tsdA	GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009987,GO:0016491,GO:0016667,GO:0016669,GO:0022900,GO:0042597,GO:0044237,GO:0044464,GO:0050338,GO:0055114	1.8.2.2	ko:K19713	-	-	-	-	ko00000,ko01000	-	-	-	Cytochrom_C,Cytochrome_CBB3
FNPKGJ_14030	216595.PFLU_2982	1.4e-48	154.0	297Y2@1|root,2ZV4B@2|Bacteria,1PBJN@1224|Proteobacteria,1SV0Q@1236|Gammaproteobacteria,1YR1T@136843|Pseudomonas fluorescens group	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_14035	216595.PFLU_2983	8.42e-60	184.0	2EVSR@1|root,33P6N@2|Bacteria,1NJUC@1224|Proteobacteria,1RUDD@1236|Gammaproteobacteria,1YQRK@136843|Pseudomonas fluorescens group	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_14040	1282356.H045_08465	4.64e-36	122.0	2B1YD@1|root,31UER@2|Bacteria,1QS9I@1224|Proteobacteria,1RVND@1236|Gammaproteobacteria,1YU6R@136843|Pseudomonas fluorescens group	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_14045	216595.PFLU_2985	2.96e-205	567.0	COG1210@1|root,COG1210@2|Bacteria,1MV5F@1224|Proteobacteria,1RNDX@1236|Gammaproteobacteria,1YMZ5@136843|Pseudomonas fluorescens group	1224|Proteobacteria	M	UTP--glucose-1-phosphate uridylyltransferase	galU	-	2.7.7.9	ko:K00963	ko00040,ko00052,ko00500,ko00520,ko01100,ko01130,map00040,map00052,map00500,map00520,map01100,map01130	M00129,M00361,M00362,M00549	R00289	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	iIT341.HP0646	NTP_transferase
FNPKGJ_14050	216595.PFLU_2986	0.0	900.0	COG1249@1|root,COG1249@2|Bacteria,1MU2Z@1224|Proteobacteria,1RMC0@1236|Gammaproteobacteria,1YMN5@136843|Pseudomonas fluorescens group	1224|Proteobacteria	C	Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family	gor	GO:0000166,GO:0003674,GO:0003824,GO:0004362,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005829,GO:0006091,GO:0006139,GO:0006725,GO:0006807,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009055,GO:0009636,GO:0009987,GO:0015036,GO:0015037,GO:0015038,GO:0015949,GO:0016209,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0022900,GO:0031974,GO:0033554,GO:0034599,GO:0034641,GO:0036094,GO:0042221,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0048037,GO:0050660,GO:0050662,GO:0050896,GO:0051716,GO:0055086,GO:0055114,GO:0070013,GO:0070887,GO:0071704,GO:0071949,GO:0097159,GO:0097237,GO:0098754,GO:0098869,GO:1901265,GO:1901360,GO:1901363,GO:1990748	1.8.1.7	ko:K00383	ko00480,ko04918,map00480,map04918	-	R00094,R00115	RC00011	ko00000,ko00001,ko01000	-	-	iZ_1308.Z4900	Pyr_redox_2,Pyr_redox_dim
FNPKGJ_14055	216595.PFLU_2987	2.08e-185	521.0	COG1511@1|root,COG1511@2|Bacteria,1R4YV@1224|Proteobacteria,1S18Z@1236|Gammaproteobacteria,1YPVX@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	Plasmid replication region DNA-binding N-term	-	-	-	-	-	-	-	-	-	-	-	-	KfrA_N
FNPKGJ_14060	216595.PFLU_2988	4.28e-225	620.0	COG0582@1|root,COG0582@2|Bacteria,1MWGG@1224|Proteobacteria,1RNMU@1236|Gammaproteobacteria,1YM49@136843|Pseudomonas fluorescens group	1224|Proteobacteria	L	Belongs to the 'phage' integrase family	tnpS	-	-	-	-	-	-	-	-	-	-	-	Phage_int_SAM_1,Phage_integrase
FNPKGJ_14065	216595.PFLU_2989	2.68e-135	382.0	COG0450@1|root,COG0450@2|Bacteria,1MWPY@1224|Proteobacteria,1RN4S@1236|Gammaproteobacteria,1YNYC@136843|Pseudomonas fluorescens group	1224|Proteobacteria	O	Alkyl hydroperoxide reductase	ahpC	GO:0003674,GO:0003824,GO:0004601,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006873,GO:0006875,GO:0006879,GO:0006950,GO:0006979,GO:0007154,GO:0008150,GO:0008152,GO:0009267,GO:0009321,GO:0009605,GO:0009636,GO:0009970,GO:0009987,GO:0009991,GO:0010033,GO:0016209,GO:0016491,GO:0016667,GO:0016671,GO:0016684,GO:0019725,GO:0030003,GO:0031667,GO:0031668,GO:0031669,GO:0032843,GO:0032991,GO:0033194,GO:0033195,GO:0033212,GO:0033214,GO:0033554,GO:0042221,GO:0042592,GO:0042594,GO:0042802,GO:0044424,GO:0044444,GO:0044464,GO:0046916,GO:0048878,GO:0050801,GO:0050896,GO:0051716,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0071496,GO:0097237,GO:0098754,GO:0098771,GO:0098869,GO:1901700,GO:1902494,GO:1990204,GO:1990748	1.11.1.15	ko:K03386	ko04214,map04214	-	-	-	ko00000,ko00001,ko01000,ko04147	-	-	-	1-cysPrx_C,AhpC-TSA
FNPKGJ_14070	216595.PFLU_2990	0.0	1003.0	COG3634@1|root,COG3634@2|Bacteria,1MUKD@1224|Proteobacteria,1RNC7@1236|Gammaproteobacteria,1YNQI@136843|Pseudomonas fluorescens group	1224|Proteobacteria	O	Alkyl hydroperoxide reductase	ahpF	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0008152,GO:0008785,GO:0009321,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0032991,GO:0036094,GO:0043167,GO:0043168,GO:0044424,GO:0044444,GO:0044464,GO:0048037,GO:0050660,GO:0050662,GO:0055114,GO:0071949,GO:0097159,GO:1901265,GO:1901363,GO:1902494,GO:1990204	-	ko:K03387	-	-	-	-	ko00000,ko01000	-	-	-	Pyr_redox_2,Thioredoxin_3
FNPKGJ_14075	216595.PFLU_2991	5.29e-126	358.0	COG0346@1|root,COG0346@2|Bacteria,1RDZ7@1224|Proteobacteria,1S25D@1236|Gammaproteobacteria,1YPWQ@136843|Pseudomonas fluorescens group	1224|Proteobacteria	E	Catalyzes the conversion of hemimercaptal, formed from methylglyoxal and glutathione, to S-lactoylglutathione	gloA	-	4.4.1.5	ko:K01759	ko00620,map00620	-	R02530	RC00004,RC00740	ko00000,ko00001,ko01000	-	-	-	Glyoxalase
FNPKGJ_14085	216595.PFLU_2991A	5.24e-124	353.0	2B16S@1|root,31TKY@2|Bacteria,1QRBU@1224|Proteobacteria,1RU9U@1236|Gammaproteobacteria,1YQCS@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	Domain of unknown function (DUF4946)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4946
FNPKGJ_14090	216595.PFLU_2993	3.37e-79	235.0	2EE2X@1|root,337XI@2|Bacteria,1NFCM@1224|Proteobacteria,1SD53@1236|Gammaproteobacteria,1YQGV@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	Transcriptional regulator	mvaV	-	-	-	-	-	-	-	-	-	-	-	Histone_HNS
FNPKGJ_14095	216595.PFLU_2994	0.0	1036.0	COG2200@1|root,COG2200@2|Bacteria,1N299@1224|Proteobacteria,1RNP4@1236|Gammaproteobacteria,1YMKC@136843|Pseudomonas fluorescens group	1224|Proteobacteria	T	CSS motif domain associated with EAL	-	-	3.1.4.52	ko:K13244	-	-	R08991	RC00296	ko00000,ko01000	-	-	-	CSS-motif,EAL
FNPKGJ_14100	216595.PFLU_2995	1.19e-200	556.0	COG0583@1|root,COG0583@2|Bacteria,1R5RF@1224|Proteobacteria,1RYQ5@1236|Gammaproteobacteria,1YRAK@136843|Pseudomonas fluorescens group	1224|Proteobacteria	K	LysR family transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
FNPKGJ_14105	216595.PFLU_2996	3.65e-231	637.0	COG0697@1|root,COG0697@2|Bacteria,1NS7A@1224|Proteobacteria,1S69E@1236|Gammaproteobacteria,1YPM1@136843|Pseudomonas fluorescens group	1224|Proteobacteria	EG	Solute carrier family 35	-	-	-	-	-	-	-	-	-	-	-	-	EamA
FNPKGJ_14110	216595.PFLU_2997	2.16e-265	726.0	COG3185@1|root,COG3185@2|Bacteria,1MUVZ@1224|Proteobacteria,1RN2Z@1236|Gammaproteobacteria,1YNA1@136843|Pseudomonas fluorescens group	1224|Proteobacteria	C	4-hydroxyphenylpyruvate dioxygenase	hppD	-	1.13.11.27	ko:K00457	ko00130,ko00350,ko00360,ko01100,map00130,map00350,map00360,map01100	M00044	R01372,R02521	RC00505,RC00738	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	iJN746.PP_3433	Glyoxalase,Glyoxalase_5
FNPKGJ_14115	216595.PFLU_2998	1.71e-210	582.0	COG2962@1|root,COG2962@2|Bacteria,1MX5G@1224|Proteobacteria,1S0YW@1236|Gammaproteobacteria,1YM6A@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	RarD protein	rarD	-	-	ko:K05786	-	-	-	-	ko00000,ko02000	2.A.7.7	-	-	EamA
FNPKGJ_14120	216595.PFLU_2999	6.45e-240	659.0	COG0667@1|root,COG0667@2|Bacteria,1MV2Y@1224|Proteobacteria,1SYP7@1236|Gammaproteobacteria,1YQDK@136843|Pseudomonas fluorescens group	1224|Proteobacteria	C	Oxidoreductase	MA20_21005	-	1.1.1.91	ko:K05882	-	-	-	-	ko00000,ko01000	-	-	-	Aldo_ket_red
FNPKGJ_14125	216595.PFLU_3000	7.28e-212	585.0	COG0583@1|root,COG0583@2|Bacteria,1MZZP@1224|Proteobacteria,1RNX9@1236|Gammaproteobacteria,1YQ39@136843|Pseudomonas fluorescens group	1224|Proteobacteria	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
FNPKGJ_14130	216595.PFLU_3001	3.62e-154	434.0	COG1028@1|root,COG1028@2|Bacteria,1RBGC@1224|Proteobacteria,1S4IK@1236|Gammaproteobacteria,1YPW7@136843|Pseudomonas fluorescens group	1224|Proteobacteria	IQ	Enoyl-(Acyl carrier protein) reductase	-	-	-	-	-	-	-	-	-	-	-	-	adh_short_C2
FNPKGJ_14135	216595.PFLU_3002	2.3e-311	848.0	COG2271@1|root,COG2271@2|Bacteria,1MUEK@1224|Proteobacteria,1RMB4@1236|Gammaproteobacteria,1YRD3@136843|Pseudomonas fluorescens group	1224|Proteobacteria	G	Transporter	ttuB	-	-	-	-	-	-	-	-	-	-	-	MFS_1
FNPKGJ_14140	216595.PFLU_3003	1.54e-270	739.0	COG3835@1|root,COG3835@2|Bacteria,1NJZ9@1224|Proteobacteria,1RMEP@1236|Gammaproteobacteria,1YRWS@136843|Pseudomonas fluorescens group	1224|Proteobacteria	KT	CdaR family transcriptional regulator	cdaR	GO:0003674,GO:0003700,GO:0006355,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141	-	ko:K02647	-	-	-	-	ko00000,ko03000	-	-	-	Diacid_rec,HTH_30
FNPKGJ_14145	216595.PFLU_3004	2.27e-269	738.0	COG1929@1|root,COG1929@2|Bacteria,1MVG9@1224|Proteobacteria,1RMC6@1236|Gammaproteobacteria,1YN3G@136843|Pseudomonas fluorescens group	1224|Proteobacteria	G	Belongs to the glycerate kinase type-1 family	glxK	-	2.7.1.165	ko:K00865	ko00260,ko00561,ko00630,ko01100,ko01120,ko01130,map00260,map00561,map00630,map01100,map01120,map01130	-	R08572	RC00002,RC00428	ko00000,ko00001,ko01000	-	-	-	Gly_kinase
FNPKGJ_14150	216595.PFLU_3005	2.25e-264	724.0	COG0123@1|root,COG0123@2|Bacteria,1MU7P@1224|Proteobacteria,1RN8W@1236|Gammaproteobacteria	1224|Proteobacteria	BQ	COG0123 Deacetylases, including yeast histone deacetylase and acetoin utilization protein	hdaH	-	-	-	-	-	-	-	-	-	-	-	Hist_deacetyl
FNPKGJ_14155	216595.PFLU_3006	6.33e-258	710.0	COG0477@1|root,COG2814@2|Bacteria,1QKNX@1224|Proteobacteria,1RSAI@1236|Gammaproteobacteria	1224|Proteobacteria	EGP	Major Facilitator	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
FNPKGJ_14160	216595.PFLU_3007	3.36e-217	598.0	COG4313@1|root,COG4313@2|Bacteria,1MWCX@1224|Proteobacteria,1S4A1@1236|Gammaproteobacteria	1224|Proteobacteria	C	COG4313 Protein involved in meta-pathway of phenol degradation	qbdB	-	-	-	-	-	-	-	-	-	-	-	Phenol_MetA_deg
FNPKGJ_14165	216595.PFLU_3008	2.62e-237	652.0	COG2197@1|root,COG2197@2|Bacteria,1NPE8@1224|Proteobacteria,1T0HI@1236|Gammaproteobacteria	1224|Proteobacteria	K	helix_turn_helix, Lux Regulon	-	-	-	-	-	-	-	-	-	-	-	-	GerE
FNPKGJ_14170	216595.PFLU_3009	5.1e-118	337.0	COG1670@1|root,COG1670@2|Bacteria,1RH19@1224|Proteobacteria,1T1HK@1236|Gammaproteobacteria,1YQ79@136843|Pseudomonas fluorescens group	1224|Proteobacteria	J	GNAT family	yhhY	GO:0003674,GO:0003824,GO:0004596,GO:0005575,GO:0005622,GO:0005623,GO:0006464,GO:0006473,GO:0006474,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0019538,GO:0031248,GO:0031365,GO:0032991,GO:0034212,GO:0036211,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0051604,GO:0071704,GO:1901564,GO:1902493,GO:1902494,GO:1990234	-	ko:K03825	-	-	-	-	ko00000,ko01000	-	-	-	Acetyltransf_1
FNPKGJ_14175	216595.PFLU_3010	1.96e-156	439.0	COG1794@1|root,COG1794@2|Bacteria,1MV03@1224|Proteobacteria,1RMHT@1236|Gammaproteobacteria,1YPUM@136843|Pseudomonas fluorescens group	1224|Proteobacteria	M	Asp/Glu/Hydantoin racemase	ygeA	GO:0000270,GO:0003674,GO:0003824,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016853,GO:0016854,GO:0016855,GO:0030203,GO:0034645,GO:0036361,GO:0042546,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0047661,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576	5.1.1.13	ko:K01779	ko00250,ko01054,map00250,map01054	-	R00491	RC00302	ko00000,ko00001,ko01000	-	-	-	Asp_Glu_race
FNPKGJ_14180	220664.PFL_2833	9.51e-31	109.0	2BT05@1|root,32N45@2|Bacteria,1QS7M@1224|Proteobacteria,1RVJK@1236|Gammaproteobacteria,1YU3S@136843|Pseudomonas fluorescens group	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
